episode,return,steps,epsilon,end_reason
560,-22.21,170,0.6957,enemy
561,-347.6,600,0.6951,timeout
562,-99.79,473,0.6946,enemy
563,-158.43,532,0.694,enemy
564,-275.26,400,0.6935,enemy
565,-138.84,600,0.6929,timeout
566,-246.73,294,0.6924,enemy
567,-136.54,413,0.6918,enemy
568,-99.73,62,0.6913,enemy
569,-251.73,284,0.6908,enemy
570,-151.77,600,0.6902,timeout
571,-75.81,277,0.6897,enemy
572,-72.17,600,0.6891,timeout
573,-231.73,300,0.6886,enemy
574,-82.83,295,0.688,enemy
575,-78.95,232,0.6875,enemy
576,-118.71,534,0.6869,enemy
577,-36.91,600,0.6864,timeout
578,-276.51,523,0.6859,enemy
579,-84.92,344,0.6853,enemy
580,-148.01,181,0.6848,enemy
581,-64.46,112,0.6842,enemy
582,-190.83,226,0.6837,enemy
583,-100.1,1,0.6831,enemy
584,44.28,165,0.6826,enemy
585,-190.39,240,0.682,enemy
586,-98.05,523,0.6815,enemy
587,-65.33,124,0.681,enemy
588,-117.43,600,0.6804,timeout
589,-140.05,294,0.6799,enemy
590,-86.16,600,0.6793,timeout
591,-165.75,232,0.6788,enemy
592,-178.54,387,0.6782,enemy
593,-80.37,600,0.6777,timeout
594,-86.91,600,0.6771,timeout
595,-226.15,291,0.6766,enemy
596,-83.24,240,0.6761,enemy
597,-207.51,297,0.6755,enemy
598,-216.72,594,0.675,enemy
599,-97.46,467,0.6744,enemy
600,-208.0,304,0.6739,enemy
601,-134.32,600,0.6733,timeout
602,-104.39,523,0.6728,enemy
603,-63.16,111,0.6722,enemy
604,-83.89,297,0.6717,enemy
605,-77.82,600,0.6712,timeout
606,-85.82,600,0.6706,timeout
607,-117.26,175,0.6701,enemy
608,-79.6,291,0.6695,enemy
609,-84.17,600,0.669,timeout
610,-85.49,334,0.6684,enemy
611,-265.8,532,0.6679,enemy
612,-59.84,600,0.6673,timeout
613,-168.45,225,0.6668,enemy
614,-181.05,465,0.6663,enemy
615,-249.96,532,0.6657,enemy
616,-88.98,600,0.6652,timeout
617,-80.03,600,0.6646,timeout
618,-288.25,482,0.6641,enemy
619,-139.82,600,0.6635,timeout
620,-92.83,411,0.663,enemy
621,-61.11,600,0.6624,timeout
622,-122.24,402,0.6619,enemy
623,-57.5,600,0.6614,timeout
624,-92.72,460,0.6608,enemy
625,-83.01,303,0.6603,enemy
626,-98.21,473,0.6597,enemy
627,-182.13,290,0.6592,enemy
628,-118.34,175,0.6586,enemy
629,-70.44,223,0.6581,enemy
630,-87.51,600,0.6575,timeout
631,-135.16,600,0.657,timeout
632,-86.0,600,0.6565,timeout
633,-170.4,517,0.6559,enemy
634,-32.91,600,0.6554,timeout
635,-163.47,285,0.6548,enemy
636,-241.48,531,0.6543,enemy
637,-196.57,300,0.6537,enemy
638,-100.14,1,0.6532,enemy
639,-85.54,356,0.6526,enemy
640,-269.2,454,0.6521,enemy
641,-82.1,600,0.6516,timeout
642,-180.89,231,0.651,enemy
643,-182.82,403,0.6505,enemy
644,-244.5,223,0.6499,enemy
645,-193.12,300,0.6494,enemy
646,-94.17,291,0.6488,enemy
647,-84.24,600,0.6483,timeout
648,-206.95,594,0.6477,enemy
649,32.47,166,0.6472,enemy
650,-66.74,165,0.6467,enemy
651,-89.55,373,0.6461,enemy
652,-146.04,474,0.6456,enemy
653,-84.96,600,0.645,timeout
654,-257.81,359,0.6445,enemy
655,-113.84,599,0.6439,enemy
656,-151.86,354,0.6434,enemy
657,-76.61,600,0.6428,timeout
658,-84.18,600,0.6423,timeout
659,-79.52,600,0.6418,timeout
660,-109.81,595,0.6412,enemy
661,-193.62,294,0.6407,enemy
662,-190.7,287,0.6401,enemy
663,-87.47,600,0.6396,timeout
664,-100.7,518,0.639,enemy
665,-209.65,469,0.6385,enemy
666,-66.89,124,0.6379,enemy
667,-87.5,600,0.6374,timeout
668,-82.27,600,0.6369,timeout
669,-88.91,237,0.6363,enemy
670,-217.26,581,0.6358,enemy
671,-86.94,600,0.6352,timeout
672,-204.7,344,0.6347,enemy
673,-203.29,238,0.6341,enemy
674,-237.88,361,0.6336,enemy
675,-68.42,174,0.633,enemy
676,-179.55,170,0.6325,enemy
677,-86.88,600,0.632,timeout
678,-98.81,411,0.6314,enemy
679,-190.24,289,0.6309,enemy
680,-66.79,600,0.6303,timeout
681,-168.16,531,0.6298,enemy
682,-82.1,600,0.6292,timeout
683,-84.19,600,0.6287,timeout
684,-126.05,290,0.6281,enemy
685,-55.36,600,0.6276,timeout
686,-102.0,526,0.6271,enemy
687,-180.96,466,0.6265,enemy
688,-168.3,361,0.626,enemy
689,-65.89,122,0.6254,enemy
690,-86.5,287,0.6249,enemy
691,-107.77,537,0.6243,enemy
692,-87.62,344,0.6238,enemy
693,-236.76,590,0.6232,enemy
694,-232.46,537,0.6227,enemy
695,-88.09,600,0.6222,timeout
696,-77.33,254,0.6216,enemy
697,-201.25,411,0.6211,enemy
698,-79.73,288,0.6205,enemy
699,-99.05,474,0.62,enemy
700,-70.77,192,0.6194,enemy
701,-67.65,123,0.6189,enemy
702,-101.0,475,0.6183,enemy
703,-110.69,583,0.6178,enemy
704,-71.46,600,0.6173,timeout
705,-100.75,478,0.6167,enemy
706,-127.65,226,0.6162,enemy
707,-87.02,600,0.6156,timeout
708,-83.48,600,0.6151,timeout
709,-87.74,600,0.6145,timeout
710,-194.25,543,0.614,enemy
711,-80.0,600,0.6134,timeout
712,-96.26,470,0.6129,enemy
713,-87.64,600,0.6124,timeout
714,-82.08,600,0.6118,timeout
715,-80.38,336,0.6113,enemy
716,-80.09,600,0.6107,timeout
717,-85.82,600,0.6102,timeout
718,-87.04,600,0.6096,timeout
719,-87.46,600,0.6091,timeout
720,-86.06,600,0.6085,timeout
721,-82.17,600,0.608,timeout
722,-84.18,600,0.6075,timeout
723,-234.6,460,0.6069,enemy
724,-189.29,600,0.6064,timeout
725,-83.65,308,0.6058,enemy
726,-189.75,461,0.6053,enemy
727,-198.58,422,0.6047,enemy
728,-198.07,459,0.6042,enemy
729,-86.08,600,0.6036,timeout
730,-82.54,600,0.6031,timeout
731,-148.02,351,0.6026,enemy
732,-86.98,600,0.602,timeout
733,-81.19,600,0.6015,timeout
734,-211.08,364,0.6009,enemy
735,-96.01,289,0.6004,enemy
736,-204.33,470,0.5998,enemy
737,-158.93,345,0.5993,enemy
738,-93.2,229,0.5987,enemy
739,-128.78,239,0.5982,enemy
740,-217.21,402,0.5977,enemy
741,108.49,600,0.5971,success
742,-179.67,182,0.5966,enemy
743,-100.14,1,0.596,enemy
744,-80.38,600,0.5955,timeout
745,-87.09,600,0.5949,timeout
746,-218.21,403,0.5944,enemy
747,-85.91,600,0.5938,timeout
748,-75.07,600,0.5933,timeout
749,-87.59,600,0.5928,timeout
750,-206.02,244,0.5922,enemy
751,-185.05,189,0.5917,enemy
752,-185.26,409,0.5911,enemy
753,-84.45,300,0.5906,enemy
754,-78.62,600,0.59,timeout
755,-79.95,600,0.5895,timeout
756,-64.19,168,0.5889,enemy
757,-87.97,600,0.5884,timeout
758,-84.17,600,0.5879,timeout
759,-168.46,361,0.5873,enemy
760,-200.48,529,0.5868,enemy
761,-71.12,220,0.5862,enemy
762,-157.77,223,0.5857,enemy
763,-144.46,238,0.5851,enemy
764,-224.36,288,0.5846,enemy
765,-120.26,224,0.584,enemy
766,-137.07,168,0.5835,enemy
767,-107.62,122,0.583,enemy
768,-162.06,470,0.5824,enemy
769,-188.06,344,0.5819,enemy
770,-85.86,600,0.5813,timeout
771,-69.67,600,0.5808,timeout
772,-86.93,600,0.5802,timeout
773,-82.09,302,0.5797,enemy
774,-229.75,533,0.5791,enemy
775,-91.61,413,0.5786,enemy
776,-93.91,460,0.5781,enemy
777,-155.76,236,0.5775,enemy
778,-74.45,234,0.577,enemy
